Soil Type,pH Level,Nitrogen (N),Phosphorus (P),Potassium (K),Organic Matter (%),Soil Moisture (%),Crop Type,Growth Stage,Temperature (°C),Rainfall (mm),Humidity (%),Sunlight (hours),Fertilizer Type,Fertilizer Amount (kg/ha),Yield (kg/ha),Cost (USD),Profit (USD)
Sandy,6.54,44.91,31.11,43.9,2.97,25.99,Barley,Vegetative,31.46,53.85,78.64,7.3,Mixed,152.66,2983.53,181.61,1216.52
Sandy,6.67,59.8,30.51,43.73,2.62,25.62,Wheat,Maturity,33.35,88.98,59.09,7.11,Mixed,138.26,3738.84,248.0,1621.8
Loamy,5.85,49.57,36.96,35.72,2.13,28.1,Corn,Germination,28.41,125.2,64.43,7.27,Inorganic,194.33,2823.39,169.8,1691.63
Sandy,7.43,36.15,32.81,47.73,2.22,26.33,Rice,Flowering,25.51,115.47,72.19,8.72,Mixed,239.71,2543.35,173.43,1778.95
Sandy,5.85,39.71,21.49,30.89,3.12,18.21,Oats,Fruit development,32.84,85.18,59.88,7.21,Organic,165.95,3131.07,254.64,1727.84
Loamy,5.86,68.9,30.13,35.49,2.58,20.42,Corn,Vegetative,23.44,50.88,78.41,6.46,Mixed,221.62,2944.12,174.5,1753.26
Sandy,7.33,36.04,35.61,33.6,1.98,19.04,Oats,Vegetative,20.37,76.97,81.46,9.05,Inorganic,141.28,3183.43,183.8,1714.93
Loamy,6.43,59.04,34.0,44.22,2.09,16.44,Corn,Fruit development,20.76,127.62,52.16,7.07,Inorganic,180.26,3057.85,161.2,1322.72
Clay,5.63,49.12,39.42,44.31,2.44,17.81,Oats,Fruit development,28.73,84.05,70.11,7.24,Inorganic,182.53,2730.91,245.73,1643.92
Sandy,6.7,59.94,20.5,40.69,3.03,34.45,Soybean,Vegetative,33.39,87.75,62.23,5.41,Organic,135.29,2917.31,267.47,1560.29
Clay,6.7,56.44,25.22,30.11,3.49,26.1,Oats,Vegetative,28.46,57.42,69.4,6.83,Mixed,185.84,2675.57,237.18,1994.46
Loamy,5.63,47.57,30.98,47.48,1.87,17.52,Wheat,Vegetative,26.14,110.17,69.14,9.11,Organic,186.45,3560.57,188.25,1720.95
Sandy,7.45,44.16,32.39,49.11,3.01,29.26,Oats,Fruit development,28.66,112.19,50.35,8.34,Inorganic,186.82,4155.44,255.81,1905.96
Loamy,6.59,60.17,25.49,34.05,2.73,24.54,Soybean,Germination,30.07,93.08,72.7,5.66,Inorganic,160.22,3644.79,227.81,1297.54
Clay,6.62,42.93,36.54,46.84,2.56,19.49,Maize,Vegetative,31.38,126.06,57.56,7.35,Organic,195.29,3149.37,170.75,1446.56
Loamy,6.54,61.51,23.29,49.47,3.43,33.87,Maize,Germination,25.21,137.69,69.57,9.63,Mixed,151.08,4192.83,177.73,1813.7
Sandy,6.72,57.19,20.02,36.54,2.15,19.49,Barley,Vegetative,25.8,125.05,81.34,6.16,Organic,158.71,2806.83,157.25,1809.32
Sandy,6.03,53.11,39.05,33.7,1.85,16.95,Maize,Fruit development,20.35,104.43,56.73,9.13,Organic,106.18,4152.28,155.14,1318.38
Clay,6.07,44.75,27.83,49.55,3.26,19.12,Soybean,Maturity,29.74,143.57,59.46,7.82,Inorganic,243.4,3733.76,175.2,1664.81
Loamy,6.52,38.2,39.15,31.19,1.64,33.24,Corn,Germination,31.65,88.22,52.23,6.78,Inorganic,207.65,2900.99,253.97,1404.62
Sandy,7.11,58.42,25.56,35.52,3.13,32.16,Barley,Maturity,27.66,115.47,67.21,9.86,Inorganic,210.9,2915.97,196.16,1695.97
Clay,5.6,33.65,21.27,44.84,2.68,32.89,Maize,Vegetative,25.65,107.52,80.45,8.61,Mixed,217.99,2617.65,210.45,1313.88
Sandy,6.71,68.82,35.45,42.35,1.83,33.32,Barley,Vegetative,25.0,134.16,69.07,6.59,Inorganic,207.69,4271.26,263.47,1520.17
Sandy,7.11,69.15,36.72,43.69,1.95,16.55,Maize,Fruit development,29.68,99.96,62.34,5.97,Organic,230.17,4002.87,169.17,1393.18
Loamy,5.81,35.21,29.84,44.16,1.81,29.23,Soybean,Maturity,24.96,105.35,81.7,9.39,Mixed,103.43,4364.86,231.49,1573.82
Sandy,5.53,34.16,21.48,43.72,2.94,28.29,Oats,Maturity,28.99,95.38,68.63,7.96,Organic,115.68,2952.84,282.34,1486.59
Loamy,6.13,46.51,33.08,36.84,1.79,34.86,Corn,Vegetative,33.9,64.05,84.08,5.18,Mixed,162.95,2590.23,275.73,1870.4
Sandy,6.68,68.55,23.64,36.23,2.86,29.29,Maize,Flowering,24.96,138.64,76.26,7.14,Inorganic,229.26,3489.42,203.42,1850.58
Clay,5.78,46.01,36.99,38.57,1.76,30.84,Wheat,Flowering,21.02,136.18,81.9,7.22,Mixed,143.39,3130.39,208.14,1849.52
Sandy,6.35,44.55,25.48,46.15,3.1,29.3,Maize,Maturity,33.11,120.25,72.69,8.88,Inorganic,212.1,3329.31,224.2,1346.97
Loamy,6.6,58.14,36.95,48.77,3.34,27.41,Soybean,Maturity,24.1,84.78,84.63,6.19,Inorganic,140.26,3427.76,234.93,1477.78
Loamy,6.7,37.15,28.54,39.1,2.62,26.06,Soybean,Germination,34.83,85.51,68.39,7.29,Mixed,249.8,4085.59,242.98,1484.47
Clay,6.05,44.53,31.93,31.72,3.43,34.39,Wheat,Vegetative,32.6,53.6,72.42,5.4,Inorganic,226.16,3933.97,170.45,1931.88
Sandy,6.3,41.65,35.79,48.77,2.28,33.73,Oats,Flowering,26.4,57.76,54.7,5.62,Inorganic,169.2,4058.73,239.38,1583.88
Sandy,7.06,54.06,20.81,31.61,1.99,23.76,Corn,Fruit development,29.42,101.38,82.79,8.97,Inorganic,233.1,2953.5,225.04,1502.38
Clay,7.38,36.51,36.42,33.18,1.85,20.68,Wheat,Germination,24.16,54.98,61.72,7.62,Mixed,190.77,2582.9,152.42,1555.59
Sandy,7.22,51.95,22.77,47.35,2.46,25.18,Barley,Flowering,21.26,59.92,73.28,6.93,Mixed,119.5,4255.8,195.12,1784.73
Sandy,6.63,64.3,27.17,41.03,1.76,29.92,Maize,Vegetative,27.89,75.12,62.62,6.33,Organic,198.78,3246.87,232.99,1357.08
Loamy,6.32,50.57,29.46,37.05,3.25,23.02,Soybean,Vegetative,26.37,87.37,80.98,9.82,Inorganic,177.47,3169.33,273.39,1859.67
Sandy,6.17,57.34,37.91,48.62,3.07,25.74,Corn,Vegetative,34.55,98.93,53.86,7.34,Inorganic,130.36,3976.88,189.53,1988.87
Sandy,5.75,33.01,20.45,49.21,2.62,20.97,Maize,Flowering,28.96,82.45,81.55,7.82,Mixed,112.12,2742.54,156.86,1895.57
Clay,5.71,47.96,31.18,36.62,2.94,23.55,Wheat,Vegetative,31.21,144.07,71.9,9.92,Mixed,232.55,3239.48,251.79,1893.32
Clay,6.88,33.8,32.85,47.37,1.6,34.15,Oats,Fruit development,22.03,145.09,83.48,8.76,Mixed,157.64,3417.46,150.87,1317.66
Loamy,6.02,53.98,26.33,43.57,1.91,19.3,Barley,Vegetative,30.85,55.6,67.63,6.89,Inorganic,232.78,4474.63,298.1,1709.54
Sandy,6.01,41.24,25.81,35.49,2.74,34.77,Maize,Germination,20.84,148.54,67.26,7.78,Mixed,211.68,4040.03,171.36,1701.4
Sandy,7.5,41.49,29.81,48.83,2.45,19.31,Wheat,Fruit development,29.2,67.29,62.56,6.98,Inorganic,104.47,4226.73,217.28,1750.93
Sandy,5.88,33.07,23.74,31.26,2.71,21.38,Oats,Germination,32.58,83.14,61.52,7.77,Mixed,222.11,4141.71,173.23,1874.44
Loamy,5.8,42.41,29.36,36.36,1.68,16.74,Rice,Germination,27.25,133.7,54.32,8.23,Mixed,134.73,3072.07,219.4,1443.79
Loamy,5.7,50.27,35.3,37.93,2.8,30.04,Rice,Maturity,23.23,118.77,61.46,9.88,Mixed,162.73,2846.2,244.43,1536.54
Clay,6.66,53.39,36.91,43.81,3.11,15.35,Soybean,Maturity,26.66,55.82,71.32,8.66,Mixed,153.42,4381.19,295.25,1871.1
Loamy,6.76,32.67,27.7,30.77,2.59,30.76,Oats,Vegetative,32.62,127.46,52.95,8.49,Mixed,102.06,2623.41,185.04,1893.1
Sandy,6.23,56.06,32.35,47.8,2.21,26.54,Oats,Fruit development,30.72,116.32,56.51,5.48,Inorganic,228.2,3638.6,225.23,1630.17
Sandy,6.57,49.56,20.0,43.18,1.85,29.98,Corn,Flowering,29.08,145.05,80.1,6.6,Organic,205.82,3172.15,188.08,1465.59
Loamy,7.08,51.48,31.01,35.5,2.03,30.66,Soybean,Maturity,30.41,141.0,53.19,6.4,Mixed,170.17,3946.22,170.0,1705.56
Sandy,7.14,63.31,39.5,43.17,2.55,17.49,Maize,Fruit development,32.51,147.52,58.45,5.5,Organic,158.28,3009.63,269.06,1289.3
Sandy,7.42,43.69,26.25,40.74,2.01,15.43,Barley,Maturity,22.28,95.49,50.13,9.36,Inorganic,243.86,4028.44,150.27,1717.16
Loamy,7.15,36.96,31.9,36.73,3.06,18.38,Rice,Fruit development,32.63,120.65,75.16,9.07,Organic,231.26,3385.43,192.14,1805.87
Loamy,6.63,52.07,35.25,30.57,1.76,22.68,Soybean,Vegetative,32.1,146.19,79.78,8.95,Mixed,247.76,3525.56,158.14,1349.26
Sandy,5.86,67.8,32.18,41.02,2.53,16.47,Wheat,Germination,27.16,50.21,80.78,5.88,Mixed,148.38,4039.97,152.56,1272.82
Sandy,5.7,50.71,28.37,31.64,2.49,24.13,Corn,Maturity,26.04,128.89,81.51,8.0,Mixed,194.8,3769.87,234.12,1450.67
Sandy,5.61,63.28,23.05,46.2,1.78,20.7,Rice,Germination,33.99,55.4,64.13,7.64,Inorganic,144.94,3914.91,262.27,1859.21
Clay,6.83,60.28,29.27,31.77,3.49,22.28,Corn,Germination,32.29,149.89,69.58,8.06,Mixed,109.19,3709.67,230.77,1582.69
Clay,7.12,50.73,25.9,38.57,3.15,33.81,Corn,Flowering,34.83,51.39,73.72,8.94,Mixed,226.75,4302.77,257.41,1885.92
Clay,6.52,55.9,33.92,38.69,2.27,29.49,Rice,Flowering,29.63,105.47,82.01,5.47,Mixed,165.04,2995.31,269.77,1348.66
Loamy,5.61,46.27,28.84,41.12,2.87,28.16,Wheat,Vegetative,20.47,102.09,77.88,5.96,Organic,231.2,3054.72,221.13,1391.97
Clay,6.57,51.23,37.0,30.79,2.93,28.07,Oats,Fruit development,22.31,80.47,67.12,6.41,Inorganic,166.23,4110.6,219.16,1260.53
Loamy,7.37,50.29,23.87,34.08,2.8,26.11,Oats,Vegetative,32.3,123.23,67.84,7.35,Inorganic,106.85,2613.32,173.84,1417.58
Loamy,6.7,58.36,28.35,33.99,2.36,25.26,Barley,Fruit development,29.58,75.7,61.77,7.93,Mixed,107.14,3128.37,250.31,1267.6
Clay,7.12,46.4,31.15,41.98,3.27,32.64,Wheat,Flowering,22.97,79.08,50.41,6.53,Inorganic,204.24,4338.03,182.18,1527.63
Clay,7.1,33.99,22.52,35.27,3.04,16.5,Oats,Vegetative,20.18,68.04,55.05,5.55,Organic,209.29,3175.48,245.57,1252.6
Clay,7.36,61.55,31.76,32.88,2.58,20.77,Wheat,Fruit development,23.94,121.41,61.61,7.54,Mixed,247.73,4361.86,268.02,1741.34
Sandy,7.04,57.39,25.82,30.37,1.51,17.08,Corn,Flowering,22.06,67.0,71.21,5.3,Inorganic,164.12,4181.8,217.17,1727.31
Clay,7.0,68.0,24.59,46.81,1.95,15.22,Oats,Fruit development,33.14,139.77,74.99,6.82,Mixed,222.07,4154.96,241.26,1312.67
Sandy,5.97,47.15,22.84,49.43,2.52,15.28,Wheat,Vegetative,33.24,78.78,81.19,5.22,Organic,144.5,2713.99,183.51,1208.67
Loamy,5.62,33.13,27.0,44.07,3.3,15.48,Maize,Maturity,32.64,101.86,69.41,6.09,Inorganic,136.17,2551.35,280.13,1827.41
